title,label
持续追踪丨俄再度炮击赫尔松，泽连斯基呼吁西方加强乌防空,国际
COP15专访｜穿汉服的中国代表团成员讲述谈判背后的故事,国际
泰国一艘军舰沉没，搜救队正在寻找33名失踪船员,国际
圆桌｜威斯特伐利亚体系从未退场？俄乌冲突下的欧洲之变,国际
法国败北马克龙表态：决赛不是提前写好的剧本，希望德尚留任,国际
欧盟天然气价格上限协议达成：每兆瓦时180欧元,国际
加拿大旺市发生枪击案，包括嫌疑人在内6人死亡,国际
欧盟就碳排放交易体系改革达成临时协议，加大减排力度,国际
马克龙在法国队更衣室内讲话内容曝光：差一点就能赢,国际
驻英使馆：英议会下院外委会报告涉华内容歪曲事实、误导公众,国际
COP15中国代表团成员高翔：穿着汉服谈判,国际
调查：远程办公让日本民众睡眠和娱乐时间增多,国际
日本与塞内加尔就石油天然气开发合作达成一致,国际
COP15通过“昆明-蒙特利尔全球生物多样性框架”,国际
韩国文体部：不到两成受访韩国民众认为“结婚是人生必选项”,国际
中方对澳大利亚外长来访有何期待？外交部回应,国际
外交部：中方推动《禁止生物武器公约》审议大会通过成果文件,国际
澳大利亚外长黄英贤将于12月20日至21日访华,国际
拉美国家领导人齐贺阿根廷夺世界杯冠军,国际
朝鲜进行侦察卫星最终阶段试验，预计明年4月完成准备工作,国际
澳大利亚足球联赛发生严重球迷骚乱：守门员在球场内遭袭受伤,国际
普京出访白俄罗斯令乌克兰警惕，泽连斯基：准备应对一切情况,国际
夺冠后有何打算？梅西赛后第一时间发声，透露这一重要信息,国际
美媒：泽连斯基申请在世界杯决赛前视频讲话，被国际足联拒绝,国际
COP15将召开全体大会，《2020年后全球生物多样性框架》有望达成,国际
女记者深情告白梅西：在阿根廷人心中，你比世界杯更重要,国际
马斯克在推特发起投票：我是否应辞去推特CEO，由网友决定,国际
外媒：以防出现健康问题，教皇方济各已预先签署辞职信,国际
伊拉克警察车队爆炸事故已致9警察遇难，“伊斯兰国”称对事件负责,国际
泰国一军舰在巴蜀府附近海域沉没：78人获救，28人仍在水中,国际
美国一航班遭遇严重湍流，造成至少36人受伤,国际
朝鲜宣布进行侦察卫星开发的重大试验,国际
中国企业代表伊利COP15大会发言：保护生物多样性，企业要积极行动,国际
隐秘的背叛丨独家揭秘英国隐藏70年的秘密,国际
泽连斯基：我随时准备单挑普京，真男人就该亲自上,国际
俄罗斯莫斯科遭遇80年来最强降雪,国际
韩美海军特种部队在美举行联合军演,国际
乌方：乌军曾试图袭击俄武装部队总参谋长,国际
马斯克恢复因暴露其位置被封的记者账号，但相关担忧依然存在,国际
外媒：诺贝尔经济学奖得主迪布维格涉嫌性骚扰学生被校方调查,国际
普京命令车臣领导人除掉泽连斯基？克宫驳斥：一派胡言！,国际
COP15主席黄润秋答澎湃：谈判“硬骨头”越来越少，对按时达成框架乐观,国际
基辛格：各方应就结束俄乌冲突展开谈判，防止另一场世界大战,国际
俄称打击乌军事目标，乌称击退俄军进攻,国际
旅日大熊猫“永明”被任命为“中日友好特使”,国际
利奥·瓦拉德卡接替米歇尔·马丁成为爱尔兰总理,国际
特朗普恐面临刑事指控，美众议院特别委员会将表决刑事转介建议,国际
美中情局局长将俄乌不和谈归咎于俄方，泽连斯基：没什么可谈,国际
欧盟与东盟首次举行领导人峰会，印媒：欧盟不再能发号施令,国际
秘鲁政局持续动荡：多名抗议者死亡，新内阁两名部长辞职,国际
美媒：泽连斯基欲在世界杯决赛前发表视频讲话，遭国际足联拒绝,国际
推特封锁记者账号事件发酵，联合国、欧盟、德国方面接连批评,国际
新冠溯源最新进展！军运会曾有5名美运动员患病，美专机接回国,国际
统计数据：印度将连续2个月蝉联俄罗斯原油最大进口国,国际
美国对乌新支持预计将包括更多防空领域装备,国际
开启构建地球生命共同体的新篇章,国际
柏林一25米高巨型水族馆爆裂：百万升水倾泄街头，千余条鱼无一幸免,国际
科索沃北部两族对立加剧，巴尔干会出现下一个“顿巴斯”？,国际
俄罗斯在加里宁格勒附近海域举行大规模军事演习,国际
第1视点｜习近平：共同开启构建地球生命共同体的新篇章,国际
油价飙升引发约旦多城市抗议，一名警察在冲突中丧生  ,国际
或因开采特许费没谈拢，巴拿马暂停加拿大公司在该国铜矿项目,国际
法国里昂一公寓楼发生火灾已致10人死亡，其中5人为儿童,国际
明查｜卡塔尔世界杯暴发“骆驼流感”？没有证据,国际
阿富汗籍记者状告英国高官：曾为英媒工作，入境申请遭驳回,国际
《生物多样性公约》执秘答澎湃：没有落实执行，框架文件将是一纸空谈,国际
俄导弹致哈尔科夫停电，乌官员预测俄明年将二次尝试攻占基辅,国际
